card_id,pr_id,population_case_type,pr_state,merged,repo_id,html_url,resumen_justificacion_categoria,horas_creacion_a_primera_aprobacion,horas_creacion_a_merge,horas_creacion_a_aceptacion,fuente_tiempo_aceptacion,categoria_retrabajo_pre_merge
3151766741-A,3151766741,merged_after_rework,closed,true,998658053,https://github.com/MicrosoftDocs/mcp/pull/13,,0.278,0.399,0.278,primera_review_aprobada,
3154760858-A,3154760858,merged_after_rework,closed,true,967503541,https://github.com/Azure/azure-mcp/pull/394,,671.851,672.027,671.851,primera_review_aprobada,
3156412763-A,3156412763,merged_after_rework,closed,true,445862991,https://github.com/tomhrr/cosh/pull/176,,,15.423,15.423,merge_sin_review_aprobada,
3157499461-A,3157499461,merged_after_rework,closed,true,170592186,https://github.com/Azure/azure-sdk-tools/pull/10924,,0.241,1.614,0.241,primera_review_aprobada,
3157537779-A,3157537779,merged_after_rework,closed,true,717213617,https://github.com/dotnet/docs-aspire/pull/3849,,286.106,311.444,286.106,primera_review_aprobada,
3158602889-A,3158602889,merged_after_rework,closed,true,1001508386,https://github.com/githubnext/awesome-continuous-ai/pull/6,,11.149,179.813,11.149,primera_review_aprobada,
3158819982-A,3158819982,merged_after_rework,closed,true,680120071,https://github.com/microsoft/autogen/pull/6697,,265.266,265.424,265.266,primera_review_aprobada,
3160865707-A,3160865707,merged_after_rework,closed,true,35890081,https://github.com/dotnet/docs/pull/46897,,1.322,96.626,1.322,primera_review_aprobada,
3161114956-A,3161114956,merged_after_rework,closed,true,108311273,https://github.com/Azure/azure-sdk-for-js/pull/34878,,23.123,771.525,23.123,primera_review_aprobada,
3161317787-A,3161317787,merged_after_rework,closed,true,464577591,https://github.com/microsoft/onnxscript/pull/2406,,23.400,963.482,23.400,primera_review_aprobada,
3161387601-A,3161387601,merged_after_rework,closed,true,55075302,https://github.com/dotnet/android/pull/10234,,22.015,87.550,22.015,primera_review_aprobada,
3163588483-A,3163588483,merged_after_rework,closed,true,344511263,https://github.com/microsoft/AzureTRE/pull/4599,,113.138,114.281,113.138,primera_review_aprobada,
3164670085-A,3164670085,merged_after_rework,closed,true,3263496,https://github.com/sshaw/itunes_store_transporter/pull/23,,,0.857,0.857,merge_sin_review_aprobada,
3166697799-A,3166697799,merged_after_rework,closed,true,162945532,https://github.com/oras-project/oras/pull/1755,,0.941,96.190,0.941,primera_review_aprobada,
3168487570-A,3168487570,merged_after_rework,closed,true,696529789,https://github.com/dotnet/aspire/pull/9992,,88.974,184.130,88.974,primera_review_aprobada,
3169097473-A,3169097473,merged_after_rework,closed,true,41881900,https://github.com/microsoft/vscode/pull/252212,,25.410,25.690,25.410,primera_review_aprobada,
3169100701-A,3169100701,merged_after_rework,closed,true,860100131,https://github.com/microsoft/typescript-go/pull/1268,,25.092,26.530,25.092,primera_review_aprobada,
3169258531-A,3169258531,merged_after_rework,closed,true,392768635,https://github.com/faros-ai/airbyte-connectors/pull/2107,,18.867,19.440,18.867,primera_review_aprobada,
3170428337-A,3170428337,merged_after_rework,closed,true,867014724,https://github.com/syncfusion/maui-toolkit/pull/199,,22.026,22.539,22.026,primera_review_aprobada,
3174268903-A,3174268903,merged_after_rework,closed,true,696529789,https://github.com/dotnet/aspire/pull/10035,,43.171,43.906,43.171,primera_review_aprobada,
3176217773-A,3176217773,merged_after_rework,closed,true,1223855,https://github.com/BrighterCommand/Brighter/pull/3638,,0.008,39.508,0.008,primera_review_aprobada,
3176871505-A,3176871505,merged_after_rework,closed,true,32944298,https://github.com/Z3Prover/z3/pull/7695,,74.629,74.633,74.629,primera_review_aprobada,
3179741870-A,3179741870,merged_after_rework,closed,true,409749889,https://github.com/KilledByAPixel/LittleJS/pull/144,,3.919,3.928,3.919,primera_review_aprobada,
3179782246-A,3179782246,merged_after_rework,closed,true,944635237,https://github.com/antontanderup/mediocre-hass-media-player-cards/pull/108,,17.185,17.211,17.185,primera_review_aprobada,
3180334979-A,3180334979,merged_after_rework,closed,true,247681382,https://github.com/dotnet/xharness/pull/1428,,11.735,14.830,11.735,primera_review_aprobada,
3182285671-A,3182285671,merged_after_rework,closed,true,948560095,https://github.com/Azure-Samples/azure-ai-travel-agents/pull/96,,250.918,624.731,250.918,primera_review_aprobada,
3188772752-A,3188772752,merged_after_rework,closed,true,41881900,https://github.com/microsoft/vscode/pull/253010,,2.094,25.973,2.094,primera_review_aprobada,
3190392108-A,3190392108,merged_after_rework,closed,true,100315623,https://github.com/Azure/autorest.csharp/pull/5358,,0.710,2.897,0.710,primera_review_aprobada,
3190568208-A,3190568208,merged_after_rework,closed,true,137104789,https://github.com/jamesmh/coravel/pull/443,,,214.532,214.532,merge_sin_review_aprobada,
